brightness,shutter_speed
325,5000000
326,5000000
327,5000000
328,5000000
329,5000000
330,5000000
331,5000000
332,5000000
333,5000000
334,5000000
335,4999813
336,4984821
337,4969918
338,4955104
339,4940376
340,4925735
341,4911180
342,4896711
343,4882325
344,4868023
345,4853804
346,4839668
347,4825612
348,4811638
349,4797744
350,4783929
351,4770192
352,4756534
353,4742953
354,4729449
355,4716021
356,4702669
357,4689391
358,4676187
359,4663057
360,4650000
361,4637015
362,4624102
363,4611260
364,4598489
365,4585788
366,4573156
367,4560593
368,4548098
369,4535671
370,4523311
371,4511018
372,4498790
373,4486629
374,4474532
375,4462500
376,4450532
377,4438627
378,4426786
379,4415007
380,4403289
381,4391634
382,4380039
383,4368505
384,4357031
385,4345617
386,4334262
387,4322965
388,4311727
389,4300546
390,4289423
391,4278357
392,4267347
393,4256393
394,4245495
395,4234652
396,4223864
397,4213130
398,4202450
399,4191823
400,4181250
401,4170729
402,4160261
403,4149845
404,4139480
405,4129167
406,4118904
407,4108692
408,4098529
409,4088417
410,4078354
411,4068339
412,4058374
413,4048456
414,4038587
415,4028765
416,4018990
417,4009263
418,3999581
419,3989946
420,3980357
421,3970814
422,3961315
423,3951862
424,3942453
425,3933088
426,3923768
427,3914491
428,3905257
429,3896066
430,3886919
431,3877813
432,3868750
433,3859729
434,3850749
435,3841810
436,3832913
437,3824056
438,3815240
439,3806464
440,3797727
441,3789031
442,3780373
443,3771755
444,3763176
445,3754635
446,3746132
447,3737668
448,3729241
449,3720852
450,3712500
451,3704185
452,3695907
453,3687666
454,3679460
455,3671291
456,3663158
457,3655060
458,3646998
459,3638971
460,3630978
461,3623021
462,3615097
463,3607208
464,3599353
465,3591532
466,3583745
467,3575990
468,3568269
469,3560581
470,3552926
471,3545303
472,3537712
473,3530153
474,3522627
475,3515132
476,3507668
477,3500236
478,3492835
479,3485465
480,3478125
481,3470816
482,3463537
483,3456289
484,3449070
485,3441881
486,3434722
487,3427592
488,3420492
489,3413420
490,3406378
491,3399364
492,3392378
493,3385421
494,3378492
495,3371591
496,3364718
497,3357872
498,3351054
499,3344264
500,3337500
501,3330763
502,3324054
503,3317371
504,3310714
505,3304084
506,3297480
507,3290902
508,3284350
509,3277824
510,3271324
511,3264848
512,3258398
513,3251974
514,3245574
515,3239199
516,3232849
517,3226523
518,3220222
519,3213945
520,3207692
521,3201464
522,3195259
523,3189077
524,3182920
525,3176786
526,3170675
527,3164587
528,3158523
529,3152481
530,3146462
531,3140466
532,3134492
533,3128541
534,3122612
535,3116706
536,3110821
537,3104958
538,3099117
539,3093298
540,3087500
541,3081724
542,3075969
543,3070235
544,3064522
545,3058830
546,3053159
547,3047509
548,3041880
549,3036270
550,3030682
551,3025113
552,3019565
553,3014037
554,3008529
555,3003041
556,2997572
557,2992123
558,2986694
559,2981284
560,2975893
561,2970521
562,2965169
563,2959836
564,2954521
565,2949226
566,2943949
567,2938690
568,2933451
569,2928229
570,2923026
571,2917842
572,2912675
573,2907526
574,2902395
575,2897283
576,2892188
577,2887110
578,2882050
579,2877008
580,2871983
581,2866975
582,2861985
583,2857011
584,2852055
585,2847115
586,2842193
587,2837287
588,2832398
589,2827525
590,2822669
591,2817830
592,2813007
593,2808200
594,2803409
595,2798634
596,2793876
597,2789133
598,2784406
599,2779695
600,2775000
601,2770320
602,2765656
603,2761007
604,2756374
605,2751756
606,2747153
607,2742566
608,2737993
609,2733436
610,2728893
611,2724366
612,2719853
613,2715355
614,2710871
615,2706402
616,2701948
617,2697508
618,2693083
619,2688671
620,2684274
621,2679891
622,2675523
623,2671168
624,2666827
625,2662500
626,2658187
627,2653888
628,2649602
629,2645330
630,2641071
631,2636826
632,2632595
633,2628377
634,2624172
635,2619980
636,2615802
637,2611637
638,2607484
639,2603345
640,2599219
641,2595105
642,2591005
643,2586917
644,2582842
645,2578779
646,2574729
647,2570692
648,2566667
649,2562654
650,2558654
651,2554666
652,2550690
653,2546727
654,2542775
655,2538836
656,2534909
657,2530993
658,2527090
659,2523198
660,2519318
661,2515450
662,2511594
663,2507749
664,2503916
665,2500094
666,2496284
667,2492485
668,2488698
669,2484922
670,2481157
671,2477403
672,2473661
673,2469929
674,2466209
675,2462500
676,2458802
677,2455114
678,2451438
679,2447772
680,2444118
681,2440474
682,2436840
683,2433217
684,2429605
685,2426004
686,2422413
687,2418832
688,2415262
689,2411702
690,2408152
691,2404613
692,2401084
693,2397565
694,2394056
695,2390558
696,2387069
697,2383590
698,2380122
699,2376663
700,2373214
701,2369775
702,2366346
703,2362927
704,2359517
705,2356117
706,2352727
707,2349346
708,2345975
709,2342613
710,2339261
711,2335918
712,2332584
713,2329260
714,2325945
715,2322640
716,2319344
717,2316056
718,2312779
719,2309510
720,2306250
721,2302999
722,2299758
723,2296525
724,2293301
725,2290086
726,2286880
727,2283683
728,2280495
729,2277315
730,2274144
731,2270982
732,2267828
733,2264683
734,2261546
735,2258418
736,2255299
737,2252188
738,2249085
739,2245991
740,2242905
741,2239828
742,2236759
743,2233698
744,2230645
745,2227601
746,2224564
747,2221536
748,2218516
749,2215504
750,2212500
751,2209504
752,2206516
753,2203536
754,2200564
755,2197599
756,2194643
757,2191694
758,2188753
759,2185820
760,2182895
761,2179977
762,2177067
763,2174164
764,2171270
765,2168382
766,2165503
767,2162630
768,2159766
769,2156908
770,2154058
771,2151216
772,2148381
773,2145553
774,2142733
775,2139919
776,2137113
777,2134315
778,2131523
779,2128739
780,2125962
781,2123191
782,2120428
783,2117672
784,2114923
785,2112182
786,2109447
787,2106719
788,2103997
789,2101283
790,2098576
791,2095875
792,2093182
793,2090495
794,2087815
795,2085142
796,2082475
797,2079815
798,2077162
799,2074515
800,2071875
801,2069242
802,2066615
803,2063994
804,2061381
805,2058773
806,2056172
807,2053578
808,2050990
809,2048409
810,2045833
811,2043264
812,2040702
813,2038146
814,2035596
815,2033052
816,2030515
817,2027983
818,2025458
819,2022940
820,2020427
821,2017920
822,2015420
823,2012925
824,2010437
825,2007955
826,2005478
827,2003008
828,2000543
829,1998085
830,1995633
831,1993186
832,1990745
833,1988310
834,1985881
835,1983458
836,1981041
837,1978629
838,1976223
839,1973823
840,1971429
841,1969040
842,1966657
843,1964279
844,1961908
845,1959541
846,1957181
847,1954826
848,1952476
849,1950133
850,1947794
851,1945461
852,1943134
853,1940812
854,1938495
855,1936184
856,1933879
857,1931578
858,1929283
859,1926994
860,1924709
861,1922430
862,1920157
863,1917888
864,1915625
865,1913367
866,1911114
867,1908867
868,1906624
869,1904387
870,1902155
871,1899928
872,1897706
873,1895490
874,1893278
875,1891071
876,1888870
877,1886673
878,1884482
879,1882295
880,1880114
881,1877937
882,1875765
883,1873599
884,1871437
885,1869280
886,1867128
887,1864980
888,1862838
889,1860700
890,1858567
891,1856439
892,1854316
893,1852198
894,1850084
895,1847975
896,1845871
897,1843771
898,1841676
899,1839586
900,1837500
901,1835419
902,1833343
903,1831271
904,1829204
905,1827141
906,1825083
907,1823029
908,1820980
909,1818936
910,1816896
911,1814860
912,1812829
913,1810802
914,1808780
915,1806762
916,1804749
917,1802740
918,1800735
919,1798735
920,1796739
921,1794748
922,1792760
923,1790777
924,1788799
925,1786824
926,1784854
927,1782888
928,1780927
929,1778969
930,1777016
931,1775067
932,1773122
933,1771182
934,1769245
935,1767313
936,1765385
937,1763461
938,1761541
939,1759625
940,1757713
941,1755805
942,1753901
943,1752002
944,1750106
945,1748214
946,1746327
947,1744443
948,1742563
949,1740688
950,1738816
951,1736948
952,1735084
953,1733224
954,1731368
955,1729516
956,1727667
957,1725823
958,1723982
959,1722145
960,1720313
961,1718483
962,1716658
963,1714836
964,1713019
965,1711205
966,1709394
967,1707588
968,1705785
969,1703986
970,1702191
971,1700399
972,1698611
973,1696827
974,1695046
975,1693269
976,1691496
977,1689726
978,1687960
979,1686198
980,1684439
981,1682683
982,1680932
983,1679184
984,1677439
985,1675698
986,1673960
987,1672226
988,1670496
989,1668769
990,1667045
991,1665325
992,1663609
993,1661896
994,1660186
995,1658480
996,1656777
997,1655078
998,1653382
999,1651689
1000,1650000
1001,1648314
1002,1646632
1003,1644953
1004,1643277
1005,1641604
1006,1639935
1007,1638270
1008,1636607
1009,1634948
1010,1633292
1011,1631639
1012,1629990
1013,1628344
1014,1626701
1015,1625062
1016,1623425
1017,1621792
1018,1620162
1019,1618535
1020,1616912
1021,1615291
1022,1613674
1023,1612060
1024,1610449
1025,1608841
1026,1607237
1027,1605635
1028,1604037
1029,1602442
1030,1600850
1031,1599260
1032,1597674
1033,1596091
1034,1594512
1035,1592935
1036,1591361
1037,1589790
1038,1588223
1039,1586658
1040,1585096
1041,1583537
1042,1581982
1043,1580429
1044,1578879
1045,1577333
1046,1575789
1047,1574248
1048,1572710
1049,1571175
1050,1569643
1051,1568114
1052,1566587
1053,1565064
1054,1563544
1055,1562026
1056,1560511
1057,1559000
1058,1557491
1059,1555984
1060,1554481
1061,1552981
1062,1551483
1063,1549988
1064,1548496
1065,1547007
1066,1545521
1067,1544037
1068,1542556
1069,1541078
1070,1539603
1071,1538130
1072,1536660
1073,1535193
1074,1533729
1075,1532267
1076,1530809
1077,1529352
1078,1527899
1079,1526448
1080,1525000
1081,1523555
1082,1522112
1083,1520672
1084,1519234
1085,1517800
1086,1516367
1087,1514938
1088,1513511
1089,1512087
1090,1510665
1091,1509246
1092,1507830
1093,1506416
1094,1505005
1095,1503596
1096,1502190
1097,1500786
1098,1499385
1099,1497987
1100,1496591
1101,1495198
1102,1493807
1103,1492418
1104,1491033
1105,1489649
1106,1488269
1107,1486890
1108,1485514
1109,1484141
1110,1482770
1111,1481402
1112,1480036
1113,1478673
1114,1477311
1115,1475953
1116,1474597
1117,1473243
1118,1471892
1119,1470543
1120,1469196
1121,1467852
1122,1466511
1123,1465171
1124,1463835
1125,1462500
