brightness,shutter_speed
325,5000000
327,5000000
328,5000000
330,5000000
332,5000000
333,5000000
335,5000000
337,5000000
338,5000000
340,5000000
342,5000000
344,5000000
345,5000000
347,5000000
349,5000000
351,5000000
352,5000000
354,5000000
356,5000000
358,5000000
359,5000000
361,5000000
363,5000000
365,5000000
367,5000000
369,5000000
370,5000000
372,5000000
374,5000000
376,5000000
378,5000000
380,5000000
382,5000000
384,5000000
386,5000000
388,5000000
390,5000000
392,5000000
394,5000000
396,5000000
398,5000000
400,5000000
402,5000000
404,5000000
406,5000000
408,5000000
410,5000000
412,5000000
414,5000000
416,5000000
418,5000000
420,5000000
422,5000000
424,5000000
427,5000000
429,5000000
431,5000000
433,5000000
435,5000000
437,5000000
440,5000000
442,5000000
444,5000000
446,5000000
449,5000000
451,5000000
453,5000000
455,5000000
458,5000000
460,5000000
462,5000000
465,5000000
467,5000000
469,5000000
472,5000000
474,5000000
477,5000000
479,5000000
481,5000000
484,5000000
486,5000000
489,5000000
491,5000000
494,5000000
496,5000000
499,5000000
501,5000000
504,5000000
506,5000000
509,5000000
511,5000000
514,5000000
517,5000000
519,5000000
522,5000000
524,5000000
527,5000000
530,5000000
532,5000000
535,5000000
538,5000000
540,5000000
543,5000000
546,5000000
549,5000000
551,5000000
554,5000000
557,5000000
560,5000000
563,5000000
566,5000000
568,5000000
571,5000000
574,5000000
577,5000000
580,5000000
583,5000000
586,5000000
589,5000000
592,5000000
595,5000000
598,5000000
601,5000000
604,5000000
607,5000000
610,5000000
613,5000000
616,5000000
619,5000000
622,5000000
625,5000000
629,5000000
632,5000000
635,5000000
638,5000000
641,5000000
645,5000000
648,5000000
651,5000000
654,5000000
658,5000000
661,5000000
664,5000000
668,5000000
671,5000000
675,5000000
678,5000000
681,5000000
685,5000000
688,5000000
692,5000000
695,5000000
699,5000000
702,5000000
706,5000000
709,5000000
713,5000000
717,5000000
720,5000000
724,5000000
727,5000000
731,5000000
735,5000000
739,5000000
742,5000000
746,5000000
750,5000000
754,5000000
757,5000000
761,5000000
765,5000000
769,5000000
773,5000000
777,5000000
781,5000000
785,5000000
789,5000000
792,5000000
796,5000000
801,5000000
805,5000000
809,5000000
813,5000000
817,5000000
821,5000000
825,5000000
829,5000000
833,5000000
838,5000000
842,5000000
846,5000000
850,5000000
855,5000000
859,5000000
863,5000000
868,5000000
872,5000000
876,5000000
881,5000000
885,4997404
890,4965885
894,4940926
899,4910041
903,4885581
908,4855312
913,4825376
917,4801664
922,4772316
926,4749067
931,4720288
936,4691820
940,4669265
945,4641342
950,4613714
955,4586379
960,4559330
964,4537894
969,4511351
974,4485082
979,4459084
984,4433352
989,4407882
994,4382671
999,4357714
1004,4333008
1009,4308548
1014,4284332
1019,4260356
1025,4231896
1030,4208435
1035,4185202
1040,4162195
1045,4139410
1051,4112357
1056,4090049
1061,4067954
1067,4041716
1072,4020077
1077,3998641
1083,3973182
1088,3952182
1094,3927239
1099,3906663
1105,3882220
1111,3858043
1116,3838097
1122,3814398
1127,3794844
1133,3771609
1139,3748622
1145,3725878
1150,3707108
1156,3684801
1162,3662727
1168,3640882
1174,3619262
1180,3597865
